#string_protein_id	preferred_name	protein_size	annotation
7227.FBpp0079527	Pen	522	Importin subunit alpha; Pendulin (Pen) encodes a member of the Importin-alpha protein family, an essential adaptor in the Ran-GTP nuclear transport cycle binding a cargo protein to the nuclear import receptor encoded by Fs(2)Ket. In addition to nuclear protein import, the product of Pen is involved in centrosome duplication, mitotic spindle dynamics, nuclear envelope assembly, ring canal formation in the female germline, geotaxic behaviour and perception of pain.
7227.FBpp0079528	Spn31A	382	Serpin 31A; Serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of endopeptidase activity; Belongs to the serpin family.
7227.FBpp0079534	CG4839	1003	LP05330p; ATP binding; cGMP-dependent protein kinase activity. It is involved in the biological process described with: protein phosphorylation.
7227.FBpp0079540	CG4908	431	RH68195p; ATP binding. It is involved in the biological process described with: mitochondrial respiratory chain complex III assembly; protein insertion into mitochondrial inner membrane from matrix; Belongs to the AAA ATPase family.
7227.FBpp0079542	eEF1delta	256	Probable elongation factor 1-delta; EF-1-beta and EF-1-delta stimulate the exchange of GDP bound to EF-1-alpha to GTP.
7227.FBpp0079544	ova	623	RE35195p; DNA-binding transcription factor activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; core promoter sequence-specific DNA binding. It is involved in the biological process described with: regulation of transcription by RNA polymerase II.
7227.FBpp0079547	Npc1a	1287	Niemann-Pick type C-1a (Npc1a) encodes a cholesterol trafficking protein that contributes to sterol and ecdysone metabolism. It is involved in sperm individualization.
7227.FBpp0079548	CG5727	183	Uncharacterized protein.
7227.FBpp0079549	CG5731	413	Alpha-galactosidase activity. It is involved in the biological process described with: oligosaccharide metabolic process; glycoside catabolic process; glycosylceramide catabolic process.
7227.FBpp0079550	Snx17	490	LD15323p; Phosphatidylinositol binding. It is involved in the biological process described with: retrograde transport, endosome to plasma membrane; intracellular protein transport.
7227.FBpp0079552	Ripalpha	197	RIP-like protein; It is involved in the biological process described with: protein import into nucleus.
7227.FBpp0079554	Fum4	484	Fumarase 4; Fumarate hydratase activity. It is involved in the biological process described with: fumarate metabolic process; malate metabolic process; tricarboxylic acid cycle.
7227.FBpp0079559	CG13133	217	IP07647p; Unfolded protein binding. It is involved in the biological process described with: chaperone-mediated protein folding; Belongs to the small heat shock protein (HSP20) family.
7227.FBpp0079561	CG13131	1317	Uncharacterized protein.
7227.FBpp0079565	me31B	459	ATP-dependent RNA helicase me31b; ATP-dependent RNA helicase which is a core component of a variety of ribonucleoprotein complexes (RNPs) that play critical roles in translational repression and mRNA decapping during embryogenesis, oogenesis, neurogenesis and neurotransmission. Recruits core components and translational repressors to some RNP complexes, and mediates RNP aggregation into processing granules such as P-bodies. As part of a RNP complex containing tral, eIF4E1, cup, and pAbp, involved in RNP-mediated translational repression of maternal mRNAs during oogenesis and embryogene [...] 
7227.FBpp0079568	Ror	685	Ror (Ror) encodes a transmembrane receptor tyrosine kinase structurally related to vertebrate neural-specific Wnt-binding Ror receptors. It is primarily expressed in the nervous system and it is likely to signal through the ERK MAP kinase pathway.
7227.FBpp0079573	Mob3	220	MOB kinase activator-like 3; Protein kinase binding; Belongs to the MOB1/phocein family.
7227.FBpp0079574	CG4953	438	Probable trafficking protein particle complex subunit 13 homolog; It is involved in the biological process described with: Golgi vesicle transport; Belongs to the TRAPPC13 family.
7227.FBpp0079575	CG4957	246	Uncharacterized protein.
7227.FBpp0079576	Mulk	408	Multi-substrate lipid kinase (Mulk) encodes a ceramide kinase involved in ceramide metabolism and pole cell migration.
7227.FBpp0079577	CG4968	262	Ubiquitin thioesterase otubain-like; Possible hydrolase that can remove conjugated ubiquitin from proteins in vitro and may therefore play an important regulatory role at the level of protein turnover by preventing degradation. Belongs to the peptidase C65 family.
7227.FBpp0079578	CG4972	561	Nicalin; It is involved in the biological process described with: regulation of signal transduction; Belongs to the nicastrin family.
7227.FBpp0079579	CG4995	399	GH13054p; Acyl carnitine transmembrane transporter activity. It is involved in the biological process described with: acyl carnitine transport; transmembrane transport; amino acid transport; Belongs to the mitochondrial carrier (TC 2.A.29) family.
7227.FBpp0079582	CG5037	391	Protoheme IX farnesyltransferase, mitochondrial; Converts protoheme IX and farnesyl diphosphate to heme O. Belongs to the ubiA prenyltransferase family.
7227.FBpp0079584	SamDC	347	S-adenosylmethionine decarboxylase (SamDC) encodes a protein involved in defense response to Gram-negative bacterium; Belongs to the eukaryotic AdoMetDC family.
7227.FBpp0079586	CG31715	121	RE44624p; It is involved in the biological process described with: regulation of barbed-end actin filament capping.
7227.FBpp0079588	Sps2	370	Selenide, water dikinase 2; Selenophosphate synthetase 2 (Sps2) is essential for selenoprotein biosynthesis. It encodes an enzyme that catalyzes the synthesis of selenophosphate from selenide and/or other selenium metabolites. Selenophosphate is an active selenium donor for the formation of selenocysteine.
7227.FBpp0079589	CG5022	572	FI22325p1; Cytoskeletal protein binding. It is involved in the biological process described with: actomyosin structure organization.
7227.FBpp0079593	CG5056	287	FI01501p; It is involved in the biological process described with: cellular response to hydrogen peroxide.
7227.FBpp0079594	dpr19	385	Defective proboscis extension response 19, isoform A; It is involved in the biological process described with: synapse organization; sensory perception of chemical stimulus.
7227.FBpp0079595	gny	475	Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase; Adds the first glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation. Transfers glucose from dolichyl phosphate glucose (Dol-P-Glc) onto the lipid-linked oligosaccharide Man(9)GlcNAc(2)-PP-Dol. Involved in cuticle differentiation.
7227.FBpp0079596	CG5096	491	RE59088p.
7227.FBpp0079606	RpS27A	156	Ubiquitin-40S ribosomal protein S27a; Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-48-linked is involve [...] 
7227.FBpp0079608	Klp31E	1048	Kinesin-like protein at 31E, isoform A; Microtubule binding; ATPase activity; ATP binding; microtubule motor activity. It is involved in the biological process described with: microtubule-based movement; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
7227.FBpp0079609	RfC3	332	Replication factor C subunit 3; ATP binding; DNA clamp loader activity. It is involved in the biological process described with: leading strand elongation; DNA repair; sister chromatid cohesion; DNA-dependent DNA replication.
7227.FBpp0079610	Wdfy2	408	WD repeat and FYVE domain containing 2, isoform A; Protein kinase binding; metal ion binding.
7227.FBpp0079613	KdelR	212	KDEL receptor (KdelR) encodes a protein required for retrieval of ER proteins from the Golgi. Loss of function is lethal and results in larval cuticle defects. It is essential for the ER retention of some but not all KDEL-containing proteins in the salivary gland ER; Belongs to the ERD2 family.
7227.FBpp0079614	CG5188	317	Methionine aminopeptidase; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met- Ala-, Cys, Gly, Pro, Ser, Thr, or Val).
7227.FBpp0079616	holn1	319	CD2 antigen cytoplasmic tail-binding protein 2 homolog; Required for embryonic epithelial tissue repair, but not for the assembly of the actomyosin cable at the wound edge. Probably acts downstream of rl in the regulation of Ddc and msn transcription to promote wound healing.
7227.FBpp0079617	STUB1	289	Carboxy terminus of Hsp70-interacting protein; STIP1 homology and U-box containing protein 1 (STUB1) encodes a ubiquitin protein ligase involved in insulin signaling pathway regulation and protein ubiquitination.
7227.FBpp0079619	loh	880	Lonely heart (loh) encodes a protein involved in larval heart development and regulation of the extracellular matrix assembly.
7227.FBpp0079620	LManII	1080	Lysosomal alpha-mannosidase II (LManII) encodes a mannosyl-oligosaccharide 1,2-alpha-mannosidase involved in the degradation of asparagine-linked carbohydrates of glycoproteins.
7227.FBpp0079622	RluA-2	547	Pseudouridine synthase activity; RNA binding. It is involved in the biological process described with: defense response to Gram-negative bacterium; positive regulation of innate immune response; enzyme-directed rRNA pseudouridine synthesis.
7227.FBpp0079623	Grip75	650	Gamma-tubulin complex component 4 homolog; Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome; Belongs to the TUBGCP family.
7227.FBpp0079626	Myo31DF	1011	Unconventional myosin ID; Unconventional myosin that functions as actin-based motor protein with ATPase activity. Binds to membranes enriched in phosphatidylinositol 4-5-bisphosphate, and can glide along actin filaments when anchored to a lipid bilayer. Generates left-right asymmetry at the level of single cells, organs and the whole body via its interaction with the actin cytoskeleton, both in the embryo and the adult. Normal left-right asymmetry of the larval midgut and hindgut requires expression in the embryonic hindgut epithelium during a critical time period, 10 to 12.75 hours af [...] 
7227.FBpp0079627	CG13144	291	IP09348p.
7227.FBpp0079628	Cog4	776	Conserved oligomeric Golgi complex subunit 4; Required for normal Golgi function.
7227.FBpp0079630	RluA-1	739	RluA pseudouridine synthase 1 (RluA-1) encodes a pseudouridine synthase, an enzyme catalyzing the formation of the most abundant nucleoside modification of RNA, pseudouridine.
7227.FBpp0079633	TBC1D16	702	TBC1 domain family member 16; Rab GTPase binding; GTPase activator activity. It is involved in the biological process described with: intracellular protein transport; regulation of GTPase activity; activation of GTPase activity.
7227.FBpp0079634	Bug22	199	Cilia- and flagella-associated protein 20; Basal body up regulated gene 22 (Bug22) encodes a ciliary protein involved in cilium organization and assembly. It contributes to multiple processes during spermatogenesis including tubulin polyglycylation, axoneme assembly, sperm individualization and motility. It also contributes to locomotion, dendrite morphogenesis and neuron and muscle development; Belongs to the CFAP20 family.
7227.FBpp0079637	CG5355	756	LP07359p; Serine-type endopeptidase activity; endopeptidase activity; serine-type exopeptidase activity; oligopeptidase activity; carboxylic ester hydrolase activity. It is involved in the biological process described with: proteolysis.
7227.FBpp0079641	Cdk1	297	Cyclin-dependent kinase 1 (Cdk1) encodes a catalytic protein kinase subunit that can only become active after association with either CycA, CycB or CycB3 products. The protein kinase activities of these complexes (CycA-Cdk1, CycB-Cdk1, CycB3-Cdk1) control important aspects of progression through the cell cycle. Functionally, the different Cdk1 complexes are partially redundant. They phosphorylate hundreds of target proteins and are most important for progression into and through mitotic and meiotic M phases.
7227.FBpp0079644	CG5367	338	Uncharacterized protein; Cysteine-type endopeptidase activity. It is involved in the biological process described with: proteolysis involved in cellular protein catabolic process; immune response; Belongs to the peptidase C1 family.
7227.FBpp0079648	RnrL	812	Ribonucleoside-diphosphate reductase large subunit; Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides.
7227.FBpp0079651	l(2)SH0834	204	Lethal (2) SH0834.
7227.FBpp0079653	CG5390	406	FI06461p; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family.
7227.FBpp0079659	CYLD	639	Cylindromatosis, isoform D; Lys63-specific deubiquitinase activity; thiol-dependent ubiquitin-specific protease activity; ubiquitinyl hydrolase activity, acting on linear ubiquitin.
7227.FBpp0079662	Hand	174	FI14601p; Hand (Hand) encodes a transcription factor that contributes to cardiogenesis, hemopoiesis, and muscle function.
7227.FBpp0079663	Ufd4	2727	E3 ubiquitin-protein ligase Ufd4; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates (By similarity). Involved in the negative regulation of the Ras/MAPK signaling pathway in the wing by acting with the E2 enzyme Unc6 and the putative E3 ligases poe and Kcmf1 to mediate the ubiquitination and proteasomal degradation of rl/MAPK.
7227.FBpp0079664	Utx	1136	Utx histone demethylase (Utx) encodes a Jumonji C containing protein that catalyzes the removal of methyl groups from Histone H3 lysine 27. Together with the products of trr and Lpt, it is thought to regulate chromatin structure at transcriptional enhancers.
7227.FBpp0079667	trk	235	Trunk (trk) encodes one of its cleaved forms acts as the ligand for the receptor encoded by tor in the early embryo; Belongs to the noggin family.
7227.FBpp0079675	CG5676	156	RE45833p; It is involved in the biological process described with: autophagy of mitochondrion.
7227.FBpp0079683	CG18301	422	Lipase; Hydrolase activity, acting on ester bonds; Belongs to the AB hydrolase superfamily. Lipase family.
7227.FBpp0079684	CG18302	406	Lipase; Hydrolase activity, acting on ester bonds. It is involved in the biological process described with: lipid metabolic process; Belongs to the AB hydrolase superfamily. Lipase family.
7227.FBpp0079687	CG6138	185	Uncharacterized protein.
7227.FBpp0079692	dbf	652	AT30637p; Nucleic acid binding; zinc ion binding.
7227.FBpp0079693	CG31871	531	RE24765p.
7227.FBpp0079697	CG6415	405	Aminomethyltransferase; The glycine cleavage system catalyzes the degradation of glycine; Belongs to the GcvT family.
7227.FBpp0079699	CG6443	299	LD41227p; It is involved in the biological process described with: mitotic DNA replication termination; site-specific DNA replication termination at RTS1 barrier.
7227.FBpp0079700	CG17118	281	DUF667 domain-containing protein; It is involved in the biological process described with: positive regulation of cell motility; cilium assembly; regulation of cilium beat frequency involved in ciliary motility.
7227.FBpp0079701	Dpy-30L1	134	Dpy-30-like 1 (Dpy-30L1) encodes a protein that is part of the COMPASS complex, a histone H3K4 methyltransferase complex thought to be responsible for the bulk of the histone H3K4 di- and trimethylation. The product of Dpy-30L1 binds to, and thereby inhibits, the metal-responsive transcription factor encoded by MTF-1.
7227.FBpp0079702	CG12299	736	LD46233p; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; sequence-specific DNA binding; DNA-binding transcription repressor activity, RNA polymerase II-specific. It is involved in the biological process described with: negative regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II.
7227.FBpp0079703	CG6495	675	BcDNA.GH10711.
7227.FBpp0079708	CG6729	944	Protein SMG8; Involved in nonsense-mediated decay (NMD) of mRNAs containing premature stop codons. Probable component of kinase complex containing nonC and recruited to stalled ribosomes (By similarity).
7227.FBpp0079709	Vha16-5	193	V-type proton ATPase proteolipid subunit; Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells.
7227.FBpp0079710	Nup107	845	Nuclear pore complex protein Nup107; Plays a role in nuclear pore complex (NPC) assembly and maintenance. Required for nuclear import of Mad. Plays a role in double strand break repair by relocalizing the heterochromatic double strain breaks (DSBs) to the nuclear periphery as part of the homologous recombination (HR) repair process. Regulates cytokinesis during spermatocyte meiosis by maintaining type-B lamin Lam localization to the spindle envelope. Regulates female gonad development and oogenesis. Belongs to the nucleoporin Nup84/Nup107 family.
7227.FBpp0079711	EMC3	247	ER Membrane protein Complex 3 (EMC3) encodes a subunit of the ER membrane protein complex (EMC). In fly retinas, EMC has been shown to be essential for the biosynthesis of multi-pass membrane proteins, but not for single-pass membrane proteins and secretory proteins.
7227.FBpp0079712	Lip2	413	Lipase; Hydrolase activity, acting on ester bonds. It is involved in the biological process described with: lipid metabolic process; Belongs to the AB hydrolase superfamily. Lipase family.
7227.FBpp0079713	Lip1	439	Lipase 1; Could be a digestive enzyme; Belongs to the AB hydrolase superfamily. Lipase family.
7227.FBpp0079716	CG17108	342	IP06991p.
7227.FBpp0079717	CG7294	127	GEO07591p1.
7227.FBpp0079721	w-cup	409	World cup, isoform A.
7227.FBpp0079724	CG7384	605	LD46023p.
7227.FBpp0079728	CG6508	423	Peptidase A1 domain-containing protein; Aspartic-type endopeptidase activity. It is involved in the biological process described with: protein catabolic process; proteolysis; Belongs to the peptidase A1 family.
7227.FBpp0079729	CG17134	391	RE02351p; Aspartic-type endopeptidase activity. It is involved in the biological process described with: proteolysis; protein catabolic process; Belongs to the peptidase A1 family.
7227.FBpp0079732	Stam	689	Signal transducing adaptor molecule (Stam) encodes a component of the ESCRT-0 complex, which mediates multivesicular body formation. It is involved in RTK signaling regulation, tracheal cell migration and endosomal trafficking.
7227.FBpp0079733	CG12517	138	GEO10377p1; Cytokine activity. It is involved in the biological process described with: chorion-containing eggshell formation; signal transduction.
7227.FBpp0079738	CG12253	378	LD32974p.
7227.FBpp0079746	dUTPase	188	Deoxyuridine triphosphatase, isoform A; dUTP diphosphatase activity; magnesium ion binding. It is involved in the biological process described with: dUMP biosynthetic process; dUTP metabolic process; dUTP catabolic process.
7227.FBpp0079747	Acp32CD	252	Accessory gland protein 32CD (Acp32CD) encodes a protein produced in the male accessory glands that is predicted to be secreted.
7227.FBpp0079749	CG18666	127	GEO12070p1; Protein phosphatase inhibitor activity. It is involved in the biological process described with: regulation of signal transduction; regulation of phosphoprotein phosphatase activity.
7227.FBpp0079751	Art8	341	Arginine methyltransferase 8 (Art8) encodes a histone methyltransferase involved in methylation of both histone H3-R2 and arginine.
7227.FBpp0079754	aub	866	Protein aubergine; Acts via the piwi-interacting RNA (piRNA) metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons. Directly binds piRNAs, a class of 24 to 30 nucleotide RNAs that are generated by a Dicer-independent mechanism and are primarily derived from transposons and other repeated sequence elements. In ovary, associates predominantly with antisense piRNAs that contain uridine at their 5' end. In testis, associates with  [...] 
7227.FBpp0079755	piwi	843	Protein piwi; Acts via the piwi-interacting RNA (piRNA) metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons. Directly binds piRNAs, a class of 24 to 30 nucleotide RNAs that are generated by a Dicer-independent mechanism and are primarily derived from transposons and other repeated sequence elements. In ovarian somatic cells, mediates silencing of transposable elements at the transcriptional level in a mael-dependent manner.  [...] 
7227.FBpp0079757	abo	539	Abnormal oocyte (abo) encodes a negative regulator of histone transcription genes by its binding to their regulatory regions. abo mutations cause a maternal-effect lethality that can be rescued by specific regions of heterochromatin during early embryogenesis.
7227.FBpp0079769	aurB	329	Aurora B (aurB) encodes a serine-threonine kinase and member of the chromosomal passenger complex. It plays multiple roles in mitosis including the correction of erroneous chromosome-spindle interactions, chromosome condensation, kinetochore assembly, spindle assembly checkpoint and cytokinesis.
7227.FBpp0079770	Dnz1	276	Protein-cysteine S-palmitoyltransferase activity. It is involved in the biological process described with: protein palmitoylation; protein targeting to membrane; peptidyl-L-cysteine S-palmitoylation.
7227.FBpp0079773	Porin2	293	Voltage-dependent anion-selective channel protein 2; Porin2 (Porin2) encodes a protein with voltage-independent cation-selective pore activity that is involved in ion transport.
7227.FBpp0079776	CG6700	874	Uncharacterized protein, isoform A.
7227.FBpp0079777	Nos	1349	Nitric oxide synthase; Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body. Truncated isoforms (isoform 3- isoform 6) are able to form intracellular complexes with the full- length protein and serve as dominant negative inhibitors of the enzyme activity; Belongs to the NOS family.
7227.FBpp0079778	CG31869	777	Uncharacterized protein, isoform A.
7227.FBpp0079780	CG6724	420	Ribosome biogenesis protein WDR12 homolog; Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit; Belongs to the WD repeat WDR12/YTM1 family.
7227.FBpp0079782	CG14915	120	GEO12083p1.
7227.FBpp0079787	Gr32a	461	Gustatory and pheromone receptor 32a; Gustatory receptor which mediates acceptance or avoidance behavior, depending on its substrates. Required for the response to N,N-Diethyl-meta-toluamide (DEET), the most widely used insect repellent worldwide. Functions as a pheromone receptor for a male inhibitory pheromone and promotes male-male aggression and suppresses male-male courtship. Also promotes preferentially virgin females courting over mated females. Belongs to the insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr21a subfamily.
7227.FBpp0079788	Nup160	1411	Nuclear pore complex protein Nup160 homolog; Functions as a component of the nuclear pore complex (NPC). Involved in poly(A)+ RNA transport (By similarity). Required for nuclear import of Mad. May play a role in double strand break DNA repair. Essential for nephrocyte development.
7227.FBpp0079789	CG4751	1412	MPN domain-containing protein CG4751; Probable protease; Belongs to the peptidase M67 family.
7227.FBpp0079790	hgo	439	Homogentisate 1,2-dioxygenase activity. It is involved in the biological process described with: L-phenylalanine catabolic process; oxidation-reduction process; cellular amino acid metabolic process; tyrosine metabolic process.
7227.FBpp0079791	CG4788	252	FI09336p.
7227.FBpp0079795	cana	1931	CENP-ana, isoform A; CENP-ana (cana) encodes a kinetochore kinesin that contributes to metaphase chromosome alignment; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
7227.FBpp0079798	CG33695	305	Uncharacterized protein, isoform E; DNA binding.
7227.FBpp0079801	Ppt2	288	Palmitoyl-protein Thioesterase 2 (Ppt2) encodes a lysosomal enzyme that removes palmitoyl groups form particular target proteins during protein degradation within the lysosomal compartment. Palmitoylation is critical for the cellular localization and modulation of many signaling proteins.
7227.FBpp0079802	mre11	620	Double-strand break repair protein; Involved in DNA double-strand break repair (DSBR). Possesses single-strand endonuclease activity and double-strand-specific 3'-5' exonuclease activity. Also involved in meiotic DSB processing.
7227.FBpp0079803	Osi21	282	Osiris 21.
7227.FBpp0079809	CG6287	332	GH03305p; NAD binding; phosphoglycerate dehydrogenase activity. It is involved in the biological process described with: cellular amino acid metabolic process; oxidation-reduction process; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family.
7227.FBpp0079811	CG31867	208	Uncharacterized protein, isoform A.
7227.FBpp0079813	Csl4	204	RE36848p; RNA binding. It is involved in the biological process described with: RNA processing; regulation of gene expression.
7227.FBpp0079814	CG14921	240	AT10515p; It is involved in the biological process described with: cilium movement; inner dynein arm assembly; outer dynein arm assembly; sensory perception of sound.
7227.FBpp0079815	CG6230	1225	Cation-transporting ATPase; Ion transmembrane transporter activity, phosphorylative mechanism; nucleotide binding; ATPase activity. It is involved in the biological process described with: cellular calcium ion homeostasis; cation transport; transmembrane transport; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily.
7227.FBpp0079816	CG6201	636	LD15174p; L-iduronidase activity; hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with: carbohydrate metabolic process.
7227.FBpp0079817	Reps	907	RALBP1 associated Eps domain containing, isoform A; Calcium ion binding; protein binding. It is involved in the biological process described with: endosomal transport; endocytosis.
7227.FBpp0079819	Ge-1	1354	Enhancer of mRNA-decapping protein 4 homolog; In the process of mRNA degradation, seems to play a role in mRNA decapping. Required for silencing a subset of endogenous miRNA targets.
7227.FBpp0079821	AstC	122	Allatostatin C (AstC) encodes a myotropic factor involved in heart rate decrease.
7227.FBpp0079826	CG4970	690	DUF4201 domain-containing protein.
7227.FBpp0079830	CG14930	248	AT28291p.
7227.FBpp0079832	Dlg5	1916	Discs large 5, isoform A; It is involved in the biological process described with: negative regulation of hippo signaling; border follicle cell migration.
7227.FBpp0079833	Cog8	570	Conserved oligomeric Golgi complex subunit 8; Required for normal Golgi function.
7227.FBpp0079836	kek2	894	Kekkon 2.
7227.FBpp0079838	CG4988	368	Aldose 1-epimerase; Converts alpha-aldose to the beta-anomer.
7227.FBpp0079848	CG14937	445	RE59904p; It is involved in the biological process described with: G2/M transition of mitotic cell cycle; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; regulation of cell cycle.
7227.FBpp0079849	Tsp33B	326	Tetraspanin 33B; It is involved in the biological process described with: protein localization to plasma membrane; protein maturation; Belongs to the tetraspanin (TM4SF) family.
7227.FBpp0079850	CG12307	182	FI08056p.
7227.FBpp0079854	Acp33A	47	Accessory gland-specific peptide 33A (Acp33A) encodes a peptide produced by the male accessory glands and transferred to females during mating.
7227.FBpp0079855	Mst33A	359	Mst33A, isoform A.
7227.FBpp0079858	CG14933	77	GH09228p1.
7227.FBpp0079859	Mal-B1	584	Maltase B1; Maltose alpha-glucosidase activity. It is involved in the biological process described with: carbohydrate metabolic process.
7227.FBpp0079862	Or33a	378	Odorant receptor 33a; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).
7227.FBpp0079863	Or33b	379	Odorant receptor 33b; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to pentyl acetate and pyrazines.
7227.FBpp0079864	Or33c	384	Odorant receptor 33c; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).
7227.FBpp0079870	escl	462	Escl, isoform A; Escl (escl) encodes an essential component of the Polycomb Repressive Complex 2, whose function is to methylate histone H3K27. Although the product of escl is functionally equivalent to the product of esc, it is not maternally supplied in equally high levels and some homeotic phenotypes occur in the absence of the product of esc.
7227.FBpp0079871	Ada1-2	308	Transcriptional Adaptor 1-2 (Ada1-2) encodes a subunit of the SAGA chromatin modifying complex.
7227.FBpp0079873	Ada1-1	308	Transcriptional Adaptor 1-1 (Ada1-1) encodes a subunit of the SAGA chromatin modifying complex.
7227.FBpp0079874	Nfs1	462	Cysteine desulfurase, mitochondrial; Catalyzes the removal of elemental sulfur from cysteine to produce alanine. It supplies the inorganic sulfur for iron-sulfur (Fe- S) clusters; Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family. NifS/IscS subfamily.
7227.FBpp0079876	dmGlut	496	Dietary and metabolic glutamate transporter (dmGlut) encodes a sodium-independent transmembrane glutamate transporter. It plays an essential role during early embryogenesis. It causes megamitochondria formation when it is overexpressed.
7227.FBpp0079878	PLCXD	482	Uncharacterized protein, isoform A; Glycosylphosphatidylinositol diacylglycerol-lyase activity; phosphoric diester hydrolase activity. It is involved in the biological process described with: glycerophospholipid metabolic process.
7227.FBpp0079881	CG14947	270	Uncharacterized protein.
7227.FBpp0079882	prd	613	Segmentation protein paired; Paired (prd) is a paired-rule gene that encodes a transcription factor with two independent DNA binding domains, a paired domain and a homeodomain. Its roles include embryonic segmentation, accessory gland development and male fertility.
7227.FBpp0079885	Rab3-GAP	1341	Rab3 GTPase-activating protein regulatory subunit; Probable regulatory subunit of a GTPase activating protein that has specificity for Rab3 subfamily. Rab3 proteins are involved in regulated exocytosis of neurotransmitters and hormones. Rab3 GTPase- activating complex specifically converts active Rab3-GTP to the inactive form Rab3-GDP (By similarity).
7227.FBpp0079890	CG6770	69	RH17958p; It is involved in the biological process described with: negative regulation of cell cycle; negative regulation of cell population proliferation; regulation of transcription by RNA polymerase II.
7227.FBpp0079891	CG6785	571	FI19442p1.
7227.FBpp0079892	CG6766	525	FI04402p; It is involved in the biological process described with: retrograde protein transport, ER to cytosol; ubiquitin-dependent ERAD pathway.
7227.FBpp0079895	Tom70	589	Translocase of outer membrane 70 (Tom70) encodes a mitochondrial protein that may act as a receptor of the TOM complex based on orthology. TOM complex is involved in protein import into mitochondria. The product of Tom70 modulates cell death induced by the expression of the mouse Bax protein.
7227.FBpp0079896	Wdr81	1953	WD repeat domain 81.
7227.FBpp0079897	Hacd1	245	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase; Catalyzes the third of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors  [...] 
7227.FBpp0079899	CG18789	398	C3H1-type domain-containing protein; Metal ion binding.
